1/2/2021 7:23:58 pm,s1,27.61
1/2/2021 7:24:02 pm,s2,36.41
1/2/2021 7:24:08 pm,s1,24.68
1/2/2021 7:24:12 pm,s2,33.48
1/2/2021 7:24:18 pm,s1,28.59
1/2/2021 7:24:22 pm,s2,38.37
1/2/2021 7:24:28 pm,s1,26.64
1/2/2021 7:24:32 pm,s2,35.43
1/2/2021 7:24:38 pm,s1,26.64
1/2/2021 7:24:43 pm,s2,37.39
1/2/2021 7:24:49 pm,s1,26.64
1/2/2021 7:24:53 pm,s2,38.37
1/2/2021 7:24:59 pm,s1,27.61
1/2/2021 7:25:03 pm,s2,38.37
1/2/2021 7:25:09 pm,s1,25.66
1/2/2021 7:25:13 pm,s2,36.41
1/2/2021 7:25:19 pm,s1,29.57
1/2/2021 7:25:24 pm,s2,42.28
1/2/2021 7:25:30 pm,s1,26.64
1/2/2021 7:25:34 pm,s2,38.37
1/2/2021 7:25:40 pm,s1,25.66
1/2/2021 7:25:44 pm,s2,38.37
1/2/2021 7:25:50 pm,s1,25.66
1/2/2021 7:25:54 pm,s2,38.37
1/2/2021 7:26:00 pm,s1,27.61
1/2/2021 7:26:04 pm,s2,39.35
1/2/2021 7:26:10 pm,s1,28.59
1/2/2021 7:26:15 pm,s2,41.3
1/2/2021 7:26:21 pm,s1,28.59
1/2/2021 7:26:25 pm,s2,42.28
1/2/2021 7:26:31 pm,s1,28.59
1/2/2021 7:26:35 pm,s2,42.28
1/2/2021 7:26:41 pm,s1,26.64
1/2/2021 7:26:45 pm,s2,39.35
1/2/2021 7:26:51 pm,s1,26.64
1/2/2021 7:26:55 pm,s2,40.32
1/2/2021 7:27:02 pm,s1,27.61
1/2/2021 7:27:06 pm,s2,42.28
1/2/2021 7:27:12 pm,s1,29.57
1/2/2021 7:27:16 pm,s2,45.21
1/2/2021 7:27:22 pm,s1,29.57
1/2/2021 7:27:26 pm,s2,43.26
1/2/2021 7:27:32 pm,s1,27.61
1/2/2021 7:27:36 pm,s2,42.28
1/2/2021 7:27:44 pm,s1,30.55
1/2/2021 7:27:47 pm,s2,45.21
1/2/2021 7:27:53 pm,s1,29.57
1/2/2021 7:27:58 pm,s2,45.21
1/2/2021 7:28:04 pm,s1,29.57
1/2/2021 7:28:08 pm,s2,46.19
1/2/2021 7:28:14 pm,s1,30.55
1/2/2021 7:28:18 pm,s2,47.17
1/2/2021 7:28:24 pm,s1,31.52
1/2/2021 7:28:28 pm,s2,49.12
1/2/2021 7:28:34 pm,s1,32.5
1/2/2021 7:28:38 pm,s2,50.1
1/2/2021 7:28:45 pm,s1,31.52
1/2/2021 7:28:53 pm,s2,49.12
1/2/2021 7:28:59 pm,s1,31.52
1/2/2021 7:29:03 pm,s2,50.1
1/2/2021 7:29:09 pm,s1,34.46
1/2/2021 7:29:13 pm,s2,53.03
1/2/2021 7:29:19 pm,s1,31.52
1/2/2021 7:29:23 pm,s2,51.08
